professor,time_from,time_to,day,rooms,subject,groups
Наташа Илиевска,12:00:00,14:45:00,Среда,Барака 1,Избрани теми од математика / Дискретна математика,1г-ПИТ-2
Невена Ацковска,13:00:00,14:45:00,Вторник,online,Напредна интеракција човек компјутер,3г-Oст
Невена Ацковска,13:00:00,14:45:00,Среда,Барака 3.2,Структурно програмирање,1г-ПИТ-3
Невена Ацковска,11:00:00,13:45:00,Петок,online,Вовед во биоинформатиката,"4y-SEIS-1,4г-КН"
Ненад Анчев,17:00:00,18:45:00,Вторник,112 ФЕИТ,Дистрибуирани системи,4г-ИМБ
Ненад Анчев,15:00:00,16:45:00,Вторник,Барака 2.2,Компјутерски мрежи,2г-ИМБ
Ненад Анчев,13:00:00,14:45:00,Среда,315 ТМФ,Алгоритми и податочни структури,2г-СИИС-1
Ненад Анчев,15:00:00,16:45:00,Среда,315 ТМФ,Бази на податоци,3г-СИИС-2
Панче Рибарски,09:00:00,11:45:00,Вторник,online,Професионални вештини,1г-КН
Панче Рибарски,08:00:00,10:45:00,Четврток,ЛАБ.138,Вовед во компјутерските науки,1y-Foreign Students
Панче Рибарски,11:00:00,13:45:00,Четврток,online,Професионални вештини,1y-Foreign Students
Панче Рибарски,10:00:00,11:45:00,Петок,online,Вовед во компјутерските науки,"1г-СИИС-3,1г-ИМБ-2"
Петар Секулоски,18:00:00,19:45:00,Среда,117 ТМФ,Математика 1 / Калкулус,1г-СИИС-1
Петар Секулоски,16:00:00,17:45:00,Четврток,117 ТМФ,Веројатност и статистика,2г-СИИС-2
Петар Секулоски,14:00:00,15:45:00,Четврток,Барака 3.2,Веројатност и статистика,2г-СИИС-3
Петар Секулоски,14:00:00,16:45:00,Петок,Барака 3.2,Дискретни структури 1,1г-КН
Петар Секулоски,12:00:00,13:45:00,Петок,Барака 2.2,Калкулус 1,"1г-КН,1г-КИ"
Петре Ламески,08:00:00,09:45:00,Вторник,223 ФЕИТ,Дизајн и архитектура на софтвер,"3г-ПИТ-1,3г-СИИС-2"
Петре Ламески,17:00:00,18:45:00,Среда,online,Мобилни информациски системи,"3г-СИИС-1,3г-СИИС-2,3y-SEIS-1,3г-ПИТ-2"
Петре Ламески,08:00:00,09:45:00,Четврток,Амфитеатар Педагаошка,Дизајн и архитектура на софтвер,"3г-СИИС-1,3г-ПИТ-2"
Петре Ламески,08:00:00,09:45:00,Петок,315 ТМФ,Дизајн и архитектура на софтвер,3y-SEIS-1
Ристе Стојанов,09:00:00,10:45:00,Вторник,315 ТМФ,Веб програмирање,"3г-СИИС-1,3г-КН"
Ристе Стојанов,10:00:00,11:45:00,Среда,223 ФЕИТ,Веб програмирање,3г-ПИТ-1
Ристе Стојанов,10:00:00,11:45:00,Четврток,223 ФЕИТ,Веб програмирање,"3y-SEIS-1,3г-СИИС-2"
Ристе Стојанов,12:00:00,13:45:00,Петок,online,Бизнис и менаџмент,"1г-ПИТ-2,1г-ПИТ-3"
Ристе Стојанов,08:00:00,09:45:00,Петок,Барака 2.2,Веб програмирање,3г-ПИТ-2
Сашо Граматиков,09:00:00,10:45:00,Вторник,315 ТМФ,Веб програмирање,"3г-СИИС-1,3г-КН"
Сашо Граматиков,10:00:00,11:45:00,Среда,223 ФЕИТ,Веб програмирање,3г-ПИТ-1
Сашо Граматиков,12:00:00,15:45:00,Среда,203 ТМФ,Мултимедиски мрежи,4г-Oст
Сашо Граматиков,14:00:00,15:45:00,Четврток,117 ТМФ,Компјутерски мрежи и безбедност,2г-СИИС-2
Сашо Граматиков,10:00:00,11:45:00,Четврток,223 ФЕИТ,Веб програмирање,"3y-SEIS-1,3г-СИИС-2"
Сашо Граматиков,08:00:00,09:45:00,Петок,Барака 2.2,Веб програмирање,3г-ПИТ-2
Сијче Печкова,13:00:00,14:45:00,Четврток,Барака 2.1,Веројатност и статистика,2y-SEIS-1
Сијче Печкова,16:00:00,17:45:00,Четврток,Амфитеатар ТМФ,Веројатност и статистика,2г-СИИС-1
Славе Темков,16:00:00,16:45:00,Понеделник,online,Програмирање на видео игри,"3г-СИИС-1,3г-СИИС-2,3г-КН,3y-SEIS-1"
Славе Темков,12:00:00,13:45:00,Вторник,Барака 1,Алгоритми и податочни структури,2г-ПИТ-2
Славе Темков,09:00:00,10:45:00,Среда,Амфитеатар Педагаошка,Алгоритми и податочни структури,2г-СИИС-3
Славе Темков,12:00:00,13:45:00,Четврток,117 ТМФ,Алгоритми и податочни структури,2г-СИИС-2
Славе Темков,14:00:00,14:45:00,Четврток,online,Програмирање на видео игри,"3г-ПИТ-1,3г-ПИТ-2"
Слободан Калајџиски,10:00:00,11:45:00,Понеделник,223 ФЕИТ,Бази на податоци,3г-КН
Слободан Калајџиски,08:00:00,09:45:00,Понеделник,223 ФЕИТ,Бази на податоци,3г-ПИТ-1
Слободан Калајџиски,08:00:00,09:45:00,Вторник,117 ТМФ,Алгоритми и податочни структури,2г-ПИТ-3
Слободан Калајџиски,15:00:00,16:45:00,Вторник,Амфитеатар ТМФ,Вовед во науката за податоци,3г-ПИТ-2
Слободан Калајџиски,16:00:00,17:45:00,Петок,225 МФ,Бази на податоци,3г-ПИТ-2
Слободан Калајџиски,14:00:00,15:45:00,Петок,Амфитеатар МФ,Бази на податоци,3г-СИИС-1
Смилка Јанеска Саркањац,12:00:00,13:45:00,Понеделник,online,Бизнис и менаџмент,"1г-СИИС-1,1г-СИИС-2"
Смилка Јанеска Саркањац,08:00:00,09:45:00,Понеделник,online,Економија за ИКТ инженери,"2г-ПИТ-5,2г-ПИТ-2,2г-ИМБ"
Смилка Јанеска Саркањац,12:00:00,13:45:00,Среда,online,Економија за ИКТ инженери,"2г-ПИТ-3,2г-ПИТ-4,2г-ПИТ-1"
Смилка Јанеска Саркањац,10:00:00,11:45:00,Петок,online,Економија за ИКТ инженери,"2г-СИИС-1,2г-СИИС-2,2г-СИИС-3,2y-SEIS-1"
Соња Гиевска,10:00:00,11:45:00,Понеделник,223 ФЕИТ,Бази на податоци,3г-КН
Соња Гиевска,08:00:00,09:45:00,Понеделник,223 ФЕИТ,Бази на податоци,3г-ПИТ-1
Соња Гиевска,16:00:00,17:45:00,Петок,225 МФ,Бази на податоци,3г-ПИТ-2
Соња Гиевска,08:00:00,09:45:00,Петок,online,Обработка на природните јазици,"4г-СИИС,4y-SEIS-1"
Соња Гиевска,14:00:00,15:45:00,Петок,Амфитеатар МФ,Бази на податоци,3г-СИИС-1
Стефан Андонов,15:00:00,16:45:00,Понеделник,online,Напредно програмирање,"2г-ПИТ-2,2г-ПИТ-1"
Стефан Андонов,13:00:00,14:45:00,Понеделник,Барака 2.2,Структурно програмирање,1y-SEIS-1
Стефан Андонов,15:00:00,16:45:00,Вторник,Амфитеатар Педагаошка,Напредно програмирање,"2г-СИИС-1,2г-ПИТ-3,2г-ПИТ-4"
Стефан Андонов,17:00:00,18:45:00,Вторник,Амфитеатар Педагаошка,Напредно програмирање,"2г-КН,2y-SEIS-1,2г-КИ"
Стефан Андонов,15:00:00,16:45:00,Среда,online,Напредно програмирање,"2г-СИИС-3,2г-ПИТ-5,2г-СИИС-2"
Стефан Андонов,10:00:00,11:45:00,Петок,Барака 3.2,Структурно програмирање,"1г-ПИТ-4,1г-КИ"
Христина Михајлоска,11:00:00,12:45:00,Понеделник,Барака 2.2,Алгоритми и податочни структури,2г-СИИС-1
Христина Михајлоска,14:00:00,15:45:00,Понеделник,Амфитеатар МФ,Структурно програмирање,1г-ПИТ-5
Христина Михајлоска,11:00:00,11:45:00,Вторник,315 ТМФ,Информациска безбедност,3г-ПИТ-1
Христина Михајлоска,09:00:00,10:45:00,Среда,203 ТМФ,Структурно програмирање,1г-ССП
Христина Михајлоска,09:00:00,10:45:00,Четврток,203 ТМФ,Структурно програмирање,1г-ССП
Елена Ризова,12:00:00,14:45:00,Четврток,Слушална 7 на Филозофскиот факултет ,Педагогија,1г-ИЕ
